sample_alias,sample_accession
31021,SAMN08519869
31025,SAMN08519715
31026,SAMN09606681
31028,SAMN09426606
31035,SAMN09606682
31064,SAMN08519778
31065,SAMN09426607
31072,SAMN08519779
31086,SAMN09606683
31110,SAMN08519780
31115,SAMN08519716
31120,SAMN08519828
31124,SAMN09426608
31130,SAMN09606684
31131,SAMN09606685
31134,SAMN09606686
31145,SAMN09426609
31152,SAMN08519781
31177,SAMN09606687
31178,SAMN09606688
31234,SAMN09426610
31235,SAMN09606689
31255,SAMN08519829
31275,SAMN09606690
31284,SAMN09426611
31288,SAMN09606691
31297,SAMN09426612
31299,SAMN09426613
31300,SAMN09606692
31311,SAMN09426614
31327,SAMN09426615
31329,SAMN08519672
31331,SAMN09426616
31333,SAMN09606693
31337,SAMN09426617
31358,SAMN09606694
31363,SAMN08519782
31364,SAMN09426618
31392,SAMN08519783
31398,SAMN09606695
31401,SAMN08519830
31407,SAMN08519784
31408,SAMN09426619
31409,SAMN09606696
31410,SAMN09426620
31415,SAMN08519849
31417,SAMN09426621
31440,SAMN08519785
31457,SAMN09606697
31462,SAMN09426622
31469,SAMN08519786
31471,SAMN09606698
31475,SAMN09606699
31477,SAMN09426623
31482,SAMN08519717
31484,SAMN08519853
31490,SAMN08519718
31497,SAMN09426624
31498,SAMN09426625
31499,SAMN08519831
31500,SAMN09426626
31506,SAMN09426627
31507,SAMN09606700
31511,SAMN08519787
31515,SAMN08519832
31518,SAMN08519719
31525,SAMN09426628
31526,SAMN08519720
31528,SAMN08519721
31540,SAMN08519854
31542,SAMN09426629
31543,SAMN09606701
31552,SAMN08519788
31553,SAMN09426630
31556,SAMN08519789
31559,SAMN09426631
31560,SAMN09426632
31573,SAMN08519790
31576,SAMN08519791
31578,SAMN09606702
31602,SAMN08519792
31605,SAMN08519722
31624,SAMN09426633
31630,SAMN08519833
31642,SAMN08519723
31650,SAMN09606703
31656,SAMN09606704
31659,SAMN08519850
31666,SAMN09606705
31670,SAMN08519793
31693,SAMN08519851
31716,SAMN09606706
31720,SAMN09606707
31729,SAMN09606708
31731,SAMN08519794
31738,SAMN09606709
31764,SAMN09606710
31778,SAMN09606711
31786,SAMN09606712
31789,SAMN09606713
31800,SAMN09606714
31804,SAMN08519795
31805,SAMN09606715
31836,SAMN09606716
31846,SAMN09606717
31849,SAMN09606718
31852,SAMN09606719
31880,SAMN09606720
31882,SAMN09606721
31902,SAMN09606722
31903,SAMN09606723
31929,SAMN09606724
31931,SAMN09606725
31937,SAMN09606726
31938,SAMN09606727
31952,SAMN09606728
31958,SAMN09606729
31960,SAMN08519834
31966,SAMN09606730
31970,SAMN09606731
31980,SAMN09606732
31984,SAMN08519855
31993,SAMN09606733
31994,SAMN08519724
31997,SAMN09606734
32025,SAMN09606735
32039,SAMN09606736
32040,SAMN09606737
32043,SAMN09761239
32053,SAMN09606738
32089,SAMN09606739
32103,SAMN09606740
32130,SAMN09606741
32132,SAMN09606742
32187,SAMN09606743
32207,SAMN09606744
32209,SAMN09606745
32215,SAMN08519725
32224,SAMN09606746
32227,SAMN09606747
32298,SAMN09606748
32299,SAMN08519726
32311,SAMN08519856
32356,SAMN09606749
32358,SAMN09606750
32363,SAMN09606751
32372,SAMN09606752
32451,SAMN09606753
32467,SAMN09606754
32469,SAMN09606755
32472,SAMN09606756
32539,SAMN09606757
32540,SAMN09606758
32552,SAMN09606759
32553,SAMN09606760
32557,SAMN09606761
32560,SAMN09606762
32588,SAMN09606763
32591,SAMN09606764
32606,SAMN08519796
32629,SAMN09606765
32651,SAMN09606766
32736,SAMN09606767
32772,SAMN09606768
32773,SAMN08519624
32785,SAMN09606769
32794,SAMN09606770
32797,SAMN09606771
32801,SAMN09606772
32849,SAMN09761240
32860,SAMN09606773
32863,SAMN09606774
32876,SAMN09606775
32906,SAMN09606776
32909,SAMN09606777
32988,SAMN09606778
32993,SAMN08519797
32995,SAMN09606779
32996,SAMN09606780
33082,SAMN09606781
33083,SAMN09606782
33097,SAMN09606783
33106,SAMN09606784
33112,SAMN09606785
33115,SAMN09606786
33163,SAMN08519630
33524,SAMN08519798
33545,SAMN08519639
33599,SAMN08519799
33605,SAMN08519640
33631,SAMN08519857
33863,SAMN09761241
33874,SAMN08519727
33889,SAMN08519858
33908,SAMN08519872
34568,SAMN08519868
34857,SAMN08519871
34859,SAMN09606787
34897,SAMN09606788
6265,SAMN12703535
6382,SAMN08519673
6716,SAMN09742547
6955,SAMN12703536
7091,SAMN09710587
7158,SAMN09710588
7267,SAMN12703503
7311,SAMN15217255
7478,SAMN08519800
7625,SAMN12703537
7937,SAMN09742548
8170,SAMN09742549
8307,SAMN12703538
8344,SAMN09710589
8395,SAMN12703539
8465,SAMN09710590
8581,SAMN08519728
8596,SAMN08519729
8653,SAMN09710591
8780,SAMN09742550
8995,SAMN08519870
9045,SAMN12703540
9086,SAMN08519671
9128,SAMN12703541
9481,SAMN08519801
9562,SAMN09742551
9656,SAMN09742552
9841,SAMN11119514
9860,SAMN09742553
9878,SAMN08519648
