id,population,known_ida,sexb,hybrid_statusc,genome_wide_anubis_ancestryd,nodup_mapq10_coveraged,percent_reads_mappedd,BioProject_WGSEQ,Paper_WGSEQ,Accession_WGSEQ,Paper_RNASEQ_1 (Tung_et_al_2015_eLIFE; PRJNA269070),Paper_RNASEQ_2 (Lea_et_al_2018_PNAS; PRJNA480672),Paper_RNASEQ_3 (Anderson_et_al_bioRxiv; PRJNA731520)
AMB_064,Amboseli,TRUE,M,recent,0.553,0.766,99.27,PRJNA755322,this_study,SAMN20814925,NA,SRR7510490,NA
AMB_065,Amboseli,TRUE,M,recent,0.906,1.192,99.26,PRJNA755322,this_study,SAMN20814907,NA,NA,NA
AMB_066,Amboseli,TRUE,F,recent,0.421,0.770,99.29,PRJNA755322,this_study,SAMN20815026,NA,NA,NA
AMB_067,Amboseli,TRUE,F,historical,0.296,0.898,99.30,PRJNA755322,this_study,SAMN20815231,NA,NA,NA
AMB_068,Amboseli,TRUE,F,recent,0.470,1.313,99.28,PRJNA755322,this_study,SAMN20814977,SRR1688478,SRR7510488,NA
AMB_069,Amboseli,TRUE,F,historical,0.310,1.141,99.14,PRJNA755322,this_study,SAMN20815151,NA,NA,NA
AMB_070,Amboseli,TRUE,F,historical,0.302,1.080,99.26,PRJNA755322,this_study,SAMN20815186,NA,NA,NA
AMB_071,Amboseli,TRUE,F,recent,0.368,1.092,99.29,PRJNA755322,this_study,SAMN20815069,NA,SRR7510486,NA
AMB_072,Amboseli,TRUE,M,historical,0.302,1.301,99.14,PRJNA755322,this_study,SAMN20815193,NA,NA,NA
AMB_073,Amboseli,TRUE,F,historical,0.299,0.815,98.91,PRJNA755322,this_study,SAMN20815206,NA,NA,NA
AMB_074,Amboseli,TRUE,M,historical,0.275,0.939,99.24,PRJNA755322,this_study,SAMN20815310,NA,NA,NA
AMB_075,Amboseli,TRUE,M,historical,0.327,0.730,99.08,PRJNA755322,this_study,SAMN20815109,NA,NA,NA
AMB_076,Amboseli,TRUE,F,recent,0.474,0.990,99.24,PRJNA755322,this_study,SAMN20814972,SRR1688508,NA,NA
AMB_077,Amboseli,TRUE,F,unassigned,0.392,1.271,99.29,PRJNA755322,this_study,SAMN20815047,SRR1688517,NA,NA
AMB_078,Amboseli,TRUE,F,historical,0.301,0.758,99.31,PRJNA755322,this_study,SAMN20815199,NA,NA,NA
AMB_079,Amboseli,TRUE,M,recent,0.645,1.112,99.20,PRJNA755322,this_study,SAMN20814910,NA,NA,NA
AMB_080,Amboseli,TRUE,F,recent,0.326,0.724,99.16,PRJNA755322,this_study,SAMN20815111,NA,NA,SRR14608260
AMB_081,Amboseli,TRUE,M,historical,0.280,1.080,99.24,PRJNA755322,this_study,SAMN20815297,NA,NA,NA
AMB_082,Amboseli,TRUE,M,historical,0.277,1.104,99.31,PRJNA755322,this_study,SAMN20815303,NA,NA,NA
AMB_083,Amboseli,TRUE,M,historical,0.306,1.073,99.27,PRJNA755322,this_study,SAMN20815161,NA,NA,NA
AMB_084,Amboseli,TRUE,M,historical,0.337,0.741,99.20,PRJNA755322,this_study,SAMN20815101,NA,NA,NA
AMB_085,Amboseli,TRUE,F,historical,0.303,1.101,99.31,PRJNA755322,this_study,SAMN20815183,NA,NA,NA
AMB_086,Amboseli,TRUE,F,historical,0.304,0.958,99.31,PRJNA755322,this_study,SAMN20815172,NA,NA,NA
AMB_087,Amboseli,TRUE,M,historical,0.340,0.738,99.30,PRJNA755322,this_study,SAMN20815095,SRR1688534,NA,NA
AMB_088,Amboseli,TRUE,M,historical,0.273,1.021,99.26,PRJNA755322,this_study,SAMN20815314,NA,NA,NA
AMB_089,Amboseli,TRUE,M,historical,0.332,1.010,99.24,PRJNA755322,this_study,SAMN20815105,NA,NA,NA
AMB_090,Amboseli,TRUE,M,historical,0.314,1.049,99.28,PRJNA755322,this_study,SAMN20815142,SRR1688496,NA,NA
AMB_091,Amboseli,TRUE,F,recent,0.475,1.043,99.31,PRJNA755322,this_study,SAMN20814971,NA,NA,NA
AMB_092,Amboseli,TRUE,F,recent,0.620,0.763,99.30,PRJNA755322,this_study,SAMN20814913,NA,NA,NA
AMB_093,Amboseli,TRUE,F,historical,0.309,1.130,98.70,PRJNA755322,this_study,SAMN20815152,NA,NA,NA
AMB_094,Amboseli,TRUE,M,recent,0.470,0.987,99.21,PRJNA755322,this_study,SAMN20814978,NA,NA,NA
AMB_095,Amboseli,TRUE,M,recent,0.476,0.910,99.23,PRJNA755322,this_study,SAMN20814968,SRR1688495,SRR7510497,SRR14608258
AMB_096,Amboseli,TRUE,F,historical,0.294,1.083,99.28,PRJNA755322,this_study,SAMN20815243,NA,NA,NA
AMB_097,Amboseli,TRUE,F,historical,0.285,0.898,99.32,PRJNA755322,this_study,SAMN20815282,NA,NA,NA
AMB_098,Amboseli,TRUE,F,historical,0.300,1.035,99.26,PRJNA755322,this_study,SAMN20815201,NA,NA,NA
AMB_099,Amboseli,TRUE,F,historical,0.286,1.108,99.29,PRJNA755322,this_study,SAMN20815277,SRR1688477,NA,NA
AMB_100,Amboseli,TRUE,F,historical,0.310,0.832,99.06,PRJNA755322,this_study,SAMN20815148,NA,NA,NA
AMB_101,Amboseli,TRUE,M,historical,0.307,1.115,99.23,PRJNA755322,this_study,SAMN20815158,SRR1688480,SRR7510499,NA
AMB_102,Amboseli,TRUE,F,historical,0.308,1.071,99.26,PRJNA755322,this_study,SAMN20815154,NA,NA,NA
AMB_103,Amboseli,TRUE,M,historical,0.303,1.193,98.40,PRJNA755322,this_study,SAMN20815179,SRR1688481,NA,NA
AMB_104,Amboseli,TRUE,M,recent,0.326,1.162,99.34,PRJNA755322,this_study,SAMN20815113,SRR1688509,NA,NA
AMB_105,Amboseli,TRUE,F,historical,0.320,1.217,99.29,PRJNA755322,this_study,SAMN20815125,NA,NA,NA
AMB_106,Amboseli,TRUE,M,historical,0.305,0.866,99.26,PRJNA755322,this_study,SAMN20815169,NA,NA,NA
AMB_107,Amboseli,TRUE,M,historical,0.346,0.954,99.30,PRJNA755322,this_study,SAMN20815088,NA,SRR7510501,NA
AMB_108,Amboseli,TRUE,F,historical,0.295,0.990,99.27,PRJNA755322,this_study,SAMN20815240,NA,NA,NA
AMB_109,Amboseli,TRUE,M,historical,0.212,0.963,99.09,PRJNA755322,this_study,SAMN20815326,NA,NA,NA
AMB_110,Amboseli,TRUE,M,historical,0.317,1.356,98.96,PRJNA755322,this_study,SAMN20815134,NA,NA,NA
AMB_111,Amboseli,TRUE,F,historical,0.341,1.094,99.30,PRJNA755322,this_study,SAMN20815094,NA,NA,NA
AMB_112,Amboseli,TRUE,F,historical,0.304,1.213,99.31,PRJNA755322,this_study,SAMN20815174,NA,NA,NA
AMB_113,Amboseli,TRUE,F,historical,0.291,1.239,99.25,PRJNA755322,this_study,SAMN20815254,NA,NA,NA
AMB_114,Amboseli,TRUE,F,recent,0.495,1.143,99.31,PRJNA755322,this_study,SAMN20814952,NA,NA,NA
AMB_115,Amboseli,TRUE,M,recent,0.415,0.802,99.24,PRJNA755322,this_study,SAMN20815032,NA,NA,NA
AMB_116,Amboseli,TRUE,F,historical,0.299,1.480,99.30,PRJNA755322,this_study,SAMN20815209,NA,NA,NA
AMB_117,Amboseli,TRUE,F,recent,0.454,1.290,99.32,PRJNA755322,this_study,SAMN20814987,NA,NA,NA
AMB_118,Amboseli,TRUE,M,recent,0.299,0.751,99.11,PRJNA755322,this_study,SAMN20815211,SRR1688491,NA,NA
AMB_119,Amboseli,TRUE,M,recent,0.391,0.846,99.26,PRJNA755322,this_study,SAMN20815049,SRR1688499,NA,NA
AMB_120,Amboseli,TRUE,F,historical,0.283,1.319,95.74,PRJNA755322,this_study,SAMN20815289,NA,NA,NA
AMB_121,Amboseli,TRUE,M,recent,0.350,1.197,99.24,PRJNA755322,this_study,SAMN20815084,SRR1688519,SRR7510503,NA
AMB_122,Amboseli,TRUE,F,recent,0.448,0.593,99.23,PRJNA755322,this_study,SAMN20814997,NA,NA,NA
AMB_123,Amboseli,TRUE,M,historical,0.275,1.218,99.12,PRJNA755322,this_study,SAMN20815309,NA,NA,NA
AMB_124,Amboseli,TRUE,M,historical,0.272,1.023,88.75,PRJNA755322,this_study,SAMN20815315,NA,NA,NA
AMB_125,Amboseli,TRUE,F,recent,0.523,1.065,99.29,PRJNA755322,this_study,SAMN20814939,NA,NA,NA
AMB_126,Amboseli,TRUE,F,historical,0.280,0.997,99.26,PRJNA755322,this_study,SAMN20815296,NA,NA,NA
AMB_127,Amboseli,TRUE,M,historical,0.324,0.798,98.59,PRJNA755322,this_study,SAMN20815115,NA,NA,SRR14608241
AMB_128,Amboseli,TRUE,F,recent,0.451,0.765,99.15,PRJNA755322,this_study,SAMN20814993,NA,NA,NA
AMB_129,Amboseli,TRUE,M,recent,0.373,1.388,99.32,PRJNA755322,this_study,SAMN20815065,SRR1688493,NA,NA
AMB_130,Amboseli,TRUE,F,recent,0.439,1.082,99.25,PRJNA755322,this_study,SAMN20815010,NA,SRR7510495,NA
AMB_131,Amboseli,TRUE,F,unassigned,0.378,1.326,99.30,PRJNA755322,this_study,SAMN20815060,SRR1688502,NA,NA
AMB_132,Amboseli,TRUE,M,recent,0.447,0.900,99.25,PRJNA755322,this_study,SAMN20815000,NA,NA,NA
AMB_133,Amboseli,TRUE,F,recent,0.436,0.705,99.26,PRJNA755322,this_study,SAMN20815011,SRR1688525,NA,NA
AMB_134,Amboseli,TRUE,F,historical,0.298,1.024,99.28,PRJNA755322,this_study,SAMN20815216,SRR1688513,NA,NA
AMB_135,Amboseli,TRUE,F,recent,0.475,1.241,99.06,PRJNA755322,this_study,SAMN20814970,NA,NA,NA
AMB_136,Amboseli,TRUE,F,recent,0.447,0.948,99.30,PRJNA755322,this_study,SAMN20814999,NA,NA,NA
