Seq-ID,Local ID,Genus,Species,Origin,GPS coordinates (latitude),GPS coordinates (longitude),Sex
PD_0755,16075_4005,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0756,16080_5004,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0757,16082_5009,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0758,34424_BZ11072,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0759,34426_BZ11074,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0760,34427_BZ11075,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,F
PD_0761,16169_IK02,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0762,16170_IK03,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0763,15972_KZ01,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0764,15973_KZ03,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0765,15974_KZ04,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,F
PD_0766,15975_KZ05,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0767,15977_KZ07,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0768,15978_KZ08,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0769,15989_1005,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,F
PD_0770,16059_3124,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,F
PD_0771,16002_2004,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0772,16006_2008,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,F
PD_0773,16008_2010,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,F
PD_0774,16035_3003,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,F
PD_0775,16074_4004,Papio,cynocephalus,"Mikumi, Tanzania",ca. S07.30988,ca. E037.17853,M
PD_0776,34376_BZ11019,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0777,34385_BZ11029,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0778,34390_BZ11034,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0779,34391_BZ11035,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0780,34393_BZ11037,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0781,34394_BZ11038,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,F
PD_0782,34395_BZ11039,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0783,34396_BZ11040,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0784,34397_BZ11041,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0785,34407_BZ11053,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0786,34408_BZ11054,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0787,34410_BZ11057,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0788,34413_BZ11060,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,F
PD_0789,34417_BZ11064,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,F
PD_0790,34418_BZ11065,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,F
PD_0791,34419_BZ11066,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,F
PD_0792,34420_BZ11067,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,F
PD_0793,34422_BZ11070,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
PD_0794_BAB,34423_BZ11071,Papio,kindae,"Chunga, Zambia",ca. S15.05356,ca. E026.00521,M
