study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA54007	SAMN03460603	SRX986561	SRR1964634	9556	Papio cynocephalus	de7037c68cd3c9fd3aa3c05036fc2dfd;f55b50cc47cfb3b9aa046343e11e3d5a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/004/SRR1964634/SRR1964634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/004/SRR1964634/SRR1964634_2.fastq.gz	PCYN.00-16005
PRJNA54007	SAMN03460609	SRX986568	SRR1964641	9556	Papio cynocephalus	d61dab8a95ce94d8c5585d180819a154;d3a89a0a12f5b655282cd8b68b994035	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964641/SRR1964641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964641/SRR1964641_2.fastq.gz	PCYN.00-16169
PRJNA54007	SAMN02866415	SRX649136	SRR1511431	9556	Papio cynocephalus	f03c7915ae58446ee02923e64ffd459c;4a8c6f22a3701b1f87cb7e6b76c4e815	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1511431/SRR1511431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1511431/SRR1511431_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866414	SRX651152	SRR1513474	9556	Papio cynocephalus	c822294a206b9aa8b6cec19bc7ab555e;d54ba2012010c4ecb00d1baf0e7a642c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1513474/SRR1513474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1513474/SRR1513474_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866414	SRX651154	SRR1513478	9556	Papio cynocephalus	68cc0cab44327f661538dab3fbf9365c;d12619878111f730826145c741051cd1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513478/SRR1513478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513478/SRR1513478_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866415	SRX802047	SRR1699449	9556	Papio cynocephalus	4c091fd3b80b3bfdfbf810430e471e78;4ca3e1fefbbe3317a6cbfd3e60b5dff4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/009/SRR1699449/SRR1699449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/009/SRR1699449/SRR1699449_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN03460600	SRX986558	SRR1964630	9556	Papio cynocephalus	3f6f07f38c94ce50b15ae9cb55405128;3da14f9c8af6daf9da590c7dce152381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964630/SRR1964630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964630/SRR1964630_2.fastq.gz	PCYN.00-15982
PRJNA54007	SAMN03460604	SRX986562	SRR1964635	9556	Papio cynocephalus	43748715eef898efb3f308f1b4d9e92b;018485ec9f9e9655829d6174a2e1fd88	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/005/SRR1964635/SRR1964635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/005/SRR1964635/SRR1964635_2.fastq.gz	PCYN.00-16011
PRJNA54007	SAMN03460601	SRX986559	SRR1964631	9556	Papio cynocephalus	e3b26ef47a139c22e308af76c851402a;8d83b25920138dff7ae0e62cc4c2b88d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964631/SRR1964631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964631/SRR1964631_2.fastq.gz	PCYN.00-15991
PRJNA54007	SAMN03460607	SRX986565	SRR1964638	9556	Papio cynocephalus	4d62c90a0233982a92b3fbf437fd63cb;919fac5e0d8b2f0f207fd400b9dd1f07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/008/SRR1964638/SRR1964638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/008/SRR1964638/SRR1964638_2.fastq.gz	PCYN.00-16053
