study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA308870	SAMN04452833	SRX1565014	SRR3151935	9556	Papio cynocephalus	c34af4e198081c2e8f747846a0e57c25;501e1b968e9556dc9f0964104c360d92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151935/SRR3151935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151935/SRR3151935_2.fastq.gz	Sample_90480
PRJNA308870	SAMN04452834	SRX1565015	SRR3151936	9556	Papio cynocephalus	5d99348b65259e66f48de66860233e62;bab9e6ca5ea5235d0561292fb3df5719	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151936/SRR3151936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151936/SRR3151936_2.fastq.gz	Sample_90483
PRJNA308870	SAMN04452791	SRX1564972	SRR3151893	9556	Papio cynocephalus	322b8817dd00418c957231ee9f0d1777;c20f14ed25099c48611b181c622c3a5a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151893/SRR3151893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151893/SRR3151893_2.fastq.gz	Sample_60187
PRJNA308870	SAMN04452792	SRX1564973	SRR3151894	9556	Papio cynocephalus	369cbbafa4d434af98374ea01ff4991c;6c33a6566b91398087df7439b6d41e06	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151894/SRR3151894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151894/SRR3151894_2.fastq.gz	Sample_60202
PRJNA308870	SAMN04452793	SRX1564974	SRR3151895	9556	Papio cynocephalus	09358bcf81fede5a412527ec34e50473;ccd1f8df554774a6553cb4d99129a99d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151895/SRR3151895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151895/SRR3151895_2.fastq.gz	Sample_60282
PRJNA308870	SAMN04452795	SRX1564976	SRR3151896	9556	Papio cynocephalus	cb62121d2906d02cf6fcc32eacbb96f5;42e4fbeb3444ff0448c18b35bef8a4ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151896/SRR3151896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151896/SRR3151896_2.fastq.gz	Sample_60326
PRJNA308870	SAMN04452798	SRX1564979	SRR3151900	9556	Papio cynocephalus	08818ccb66d8072719e4df9e90353955;055240a574ac3ea882f9d0c121f93b6d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151900/SRR3151900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151900/SRR3151900_2.fastq.gz	Sample_60591
PRJNA308870	SAMN04452794	SRX1564975	SRR3151897	9556	Papio cynocephalus	cc0579ade65b907e58ded9fb7c23173a;6d4fd9733d68ba75253cdf7d41325105	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151897/SRR3151897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151897/SRR3151897_2.fastq.gz	Sample_60302
PRJNA308870	SAMN04452807	SRX1564988	SRR3151909	9556	Papio cynocephalus	5865417fd81a56638b5819fbf56e2d00;dc73f7c74f8de3798545ba171c0d964a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151909/SRR3151909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151909/SRR3151909_2.fastq.gz	Sample_60932
PRJNA308870	SAMN04452809	SRX1564990	SRR3151911	9556	Papio cynocephalus	f06b1f212202948feda3281f5b58269f;e61c7ea62c46cf6e06699bfdcce22b4e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151911/SRR3151911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151911/SRR3151911_2.fastq.gz	Sample_60995
