study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJEB59576	SAMEA14464440	ERX10381684	ERR10942375	70825	Cacajao melanocephalus	6ffc59287fd3b7dfe4a07cb4a031d13d;08ddf9d7bae216e87e7909769a79b7a0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10942375/ERR10942375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10942375/ERR10942375_2.fastq.gz	PD_0128
PRJEB59576	SAMEA112482999	ERX10382637	ERR10943328	78583	Lepilemur dorsalis	dfe5948c2bad01761e2d7a2adac568a8;b711aa5e0135880f17b4494131c73cfd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10943328/ERR10943328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10943328/ERR10943328_2.fastq.gz	PD_0246
PRJEB59576	SAMEA112483001	ERX10382643	ERR10943334	342401	Lepilemur ankaranensis	eb5958a1a067ee49d6684a91fc418208;44e3d5337bb59d4c2fbf9e92cad111d0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10943334/ERR10943334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10943334/ERR10943334_2.fastq.gz	PD_0248
PRJEB59576	SAMEA14464440	ERX10381686	ERR10942377	70825	Cacajao melanocephalus	2d78fb77c408b822342e865ea0c3fe66;b15200a6caf527367f9aee5a14570e33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10942377/ERR10942377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10942377/ERR10942377_2.fastq.gz	PD_0128
PRJEB59576	SAMEA112483001	ERX10382647	ERR10943338	342401	Lepilemur ankaranensis	af961fe82f532cde5d8132e0c078c55d;625dfaad218102f9b438dc19a6ebecd3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10943338/ERR10943338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10943338/ERR10943338_2.fastq.gz	PD_0248
PRJEB59576	SAMEA14464438	ERX10381694	ERR10942385	535897	Cacajao hosomi	6571fb3d58a31a857b897090e000d410;28690a05f3018bc882b128386fae9f4b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/085/ERR10942385/ERR10942385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/085/ERR10942385/ERR10942385_2.fastq.gz	PD_0129
PRJEB59576	SAMEA112483001	ERX10382648	ERR10943339	342401	Lepilemur ankaranensis	204e2633065f0c86132d90ffcdfe18cf;a5f327822519d1ddced031c23cd4f417	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10943339/ERR10943339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10943339/ERR10943339_2.fastq.gz	PD_0248
PRJEB59576	SAMEA14464438	ERX10381695	ERR10942386	535897	Cacajao hosomi	acb0b6833824864a9fc25b51576486f8;38a503ff0cb94c11d7bec4f3a4fe60e0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10942386/ERR10942386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10942386/ERR10942386_2.fastq.gz	PD_0129
PRJEB59576	SAMEA112483002	ERX10382652	ERR10943343	78866	Lepilemur ruficaudatus	ff84a642db57aafc10fc04e934f6f7a0;f9b7f0dd73a8fecf2a68f0a87dbc7bce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10943343/ERR10943343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10943343/ERR10943343_2.fastq.gz	PD_0249
PRJEB59576	SAMEA112483002	ERX10382655	ERR10943346	78866	Lepilemur ruficaudatus	338ee7b1d3ee6335f91071b9ab04df98;ff2f9e2bc0120c764ced22344f16ff93	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10943346/ERR10943346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10943346/ERR10943346_2.fastq.gz	PD_0249
PRJEB59576	SAMEA14464423	ERX10381699	ERR10942390	30596	Cacajao calvus	20e676b8cc529263419673447a1827cf;9d01fc741fe687178eef2295da871770	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10942390/ERR10942390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10942390/ERR10942390_2.fastq.gz	PD_0130
PRJEB59576	SAMEA112483002	ERX10382658	ERR10943349	78866	Lepilemur ruficaudatus	e3e97fb57fbf30c5c6476f2683bd6fd2;da3d16aafa56f765f6ae86537973fe7e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10943349/ERR10943349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10943349/ERR10943349_2.fastq.gz	PD_0249
