sname,gDNA_coverage,n,endogenous_percentage,imputed
SCO,9.601,2,NA,NA
SEZ,0.73,1,NA,NA
SOR,6.148,2,NA,NA
SUE,1.109,1,NA,NA
TAI,1.043,1,NA,NA
TAK,15.618,1,NA,NA
TAL,9.542,2,NA,NA
TAM,1.01,1,NA,NA
TAS,26.72,1,NA,NA
TAY,1.036,1,NA,NA
TEL,1.577,1,NA,NA
TEN,18.297,1,NA,NA
TER,1.049,1,NA,NA
THR,0.92,1,NA,NA
THU,0.641,1,NA,NA
TIG,29.399,1,NA,NA
TOR,1.276,1,NA,NA
TRU,1.07,1,NA,NA
TUS,1.21,1,NA,NA
TUZ,8.693,2,NA,NA
TYC,9.841,2,NA,NA
U04,1.234,1,NA,NA
U05,1.188,1,NA,NA
UBA,0.772,1,NA,NA
UDI,1.067,1,NA,NA
UHU,0.831,1,NA,NA
UJA,14.799,1,NA,NA
UJI,1.081,1,NA,NA
UJU,27.545,1,NA,NA
UKR,24.295,1,NA,NA
ULT,0.986,1,NA,NA
UMB,7.7540000000000004,2,NA,NA
UNG,1.154,1,NA,NA
UNK-ADL-10-30-2017,0.217,1,NA,NA
UNK-F-10-30-2017,14.976,1,NA,NA
UNK-F-12-17-2020,8.299,1,NA,NA
UNK-F-4-16-2018,16.775,1,NA,NA
UNK-F-5-1-2019,20.036,1,NA,NA
UNK-M-11-11-2016,15.875,1,NA,NA
UNK-M-12-17-2020,23.685,1,NA,NA
UNK-M-9-21-2017,23.904,1,NA,NA
UNK_1,1.095,1,NA,NA
UNK_10,1.325,1,NA,NA
UNK_11,1.254,1,NA,NA
UNK_12,1.022,1,NA,NA
UNK_2,1.092,1,NA,NA
UNK_3,1.154,1,NA,NA
UNK_4,1.28,1,NA,NA
UNK_5,1.142,1,NA,NA
UNK_6,1.141,1,NA,NA
UNK_7,0.803,1,NA,NA
UNK_8,1.002,1,NA,NA
UNK_9,1.077,1,NA,NA
UNY,1.732,1,NA,NA
UPE,26.944,1,NA,NA
USA,0.919,1,NA,NA
UTO,1.085,1,NA,NA
VAD,1.036,1,NA,NA
VAI,6.746,1,NA,NA
VAK,0.933,1,NA,NA
VAP,1.173,1,NA,NA
VAQ,26.419,1,NA,NA
VAZ,0.966,1,NA,NA
VEC,0.982,1,NA,NA
VEI,10.088999999999999,2,NA,NA
VEM,19.224,1,NA,NA
VES,1.04,1,NA,NA
VET,1.531,1,NA,NA
VEX,1.352,1,NA,NA
VIB,1.353,1,NA,NA
VIG,1.243,1,NA,NA
VIN,8.748,2,NA,NA
VIP,1.347,1,2.31,TRUE
VIV,9.245,2,NA,NA
VIY,1.028,1,NA,NA
VLA,25.426,1,NA,NA
VOG,0.874,1,NA,NA
VOM,0.763,1,NA,NA
VOR,7.906000000000001,2,NA,NA
VOT,9.898,2,NA,NA
VOY,39.203,1,2.53,TRUE
VRE,23.502,1,NA,NA
VUG,1.095,1,NA,NA
VUK,22.56,1,NA,NA
VUM,1.361,1,NA,NA
WAB,1.603,1,NA,NA
WAC,1.197,1,NA,NA
WAD,8.212,2,NA,NA
WAG,9.696,2,NA,NA
WAJ,107.848,2,NA,NA
WAK,0.984,1,NA,NA
WAL,0.766,1,NA,NA
WAM,1.069,1,2.18,TRUE
WAN,0.94,1,NA,NA
WAP,1.028,1,1.14,TRUE
WAS,1.241,1,NA,NA
WAU,0.898,1,NA,NA
WEA,10.204,2,1.21,TRUE
WEF,25.176,1,NA,NA
WEG,1.251,1,3.78,TRUE
WEI,0.927,1,NA,NA
WEM,1.187,1,NA,NA
WEN,32.508,1,0.25,NA
WER,0.76,1,0.64,FALSE
WEW,1.076,1,3.08,TRUE
WEY,0.886,1,NA,NA
WHE,1.04,1,NA,NA
WHI,8.38,2,NA,NA
WIF,1.354,1,NA,NA
WIP,1.053,1,NA,NA
WIR,1.344,1,NA,NA
WIV,0.915,1,NA,NA
WIZ,1.152,1,NA,NA
WOB,0.908,1,NA,NA
WOC,1.16,1,NA,NA
WOD,0.87,1,NA,NA
WOE,0.825,1,NA,NA
WOL,1.4,1,1.05,FALSE
WON,1.214,1,NA,NA
WRI,1.498,1,4.42,TRUE
WRU,24.102,1,NA,NA
WUA,0.995,1,NA,NA
WYA,0.697,1,NA,NA
