study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA20425	SAMN03073709	SRX758146	SRR1649184	9557	Papio hamadryas	195bc33945102c61ec9d558c01e4412c;78824e91ce51136baac9d33136de4b61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1649184/SRR1649184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1649184/SRR1649184_2.fastq.gz	PHAM.P9-97074
PRJNA20425	SAMN03073709	SRX758146	SRR1649185	9557	Papio hamadryas	e65ccacee6ce96dbfb35cc7541c1729c;5c04880d980f953186c05643e5fad89a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1649185/SRR1649185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1649185/SRR1649185_2.fastq.gz	PHAM.P9-97074
PRJNA20425	SAMN03073710	SRX758148	SRR1649189	9557	Papio hamadryas	ae75392ee65f622d268d114a47384e4a;49404df21d1428f7be8966f315cf48e6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1649189/SRR1649189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1649189/SRR1649189_2.fastq.gz	PHAM.P9-97124
PRJNA20425	SAMN03073710	SRX758148	SRR1703173	9557	Papio hamadryas	c977f5ac1b5847335f242571cf75f4f1;bf0378c5013e899727c99b2a139c0060	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/003/SRR1703173/SRR1703173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/003/SRR1703173/SRR1703173_2.fastq.gz	PHAM.P9-97124
PRJNA20425	SAMN03073709	SRX758146	SRR1703171	9557	Papio hamadryas	cfa9d40b543e8496e85a745210327dc3;54970bdb8dc6a39976d62bb690f89746	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR1703171/SRR1703171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR1703171/SRR1703171_2.fastq.gz	PHAM.P9-97074
PRJNA20425	SAMN03073709	SRX758146	SRR1703172	9557	Papio hamadryas	ec2602df6e223ad56e164a73092e73fe;89374e96c576a81883d96b3e6f19be8c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/002/SRR1703172/SRR1703172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/002/SRR1703172/SRR1703172_2.fastq.gz	PHAM.P9-97074
PRJNA20425	SAMN03073709	SRX758147	SRR1649186	9557	Papio hamadryas	b64dedb1c3c0f8e346020a02e31dd76c;88d4ec73e77251bd11ecb5e3e8210602	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1649186/SRR1649186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1649186/SRR1649186_2.fastq.gz	PHAM.P9-97074
PRJNA20425	SAMN03073710	SRX758148	SRR1649187	9557	Papio hamadryas	8f709efc10f0116aac0c9e3658a52588;e89409579f9bbdd15b2b5ae2562a7796	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1649187/SRR1649187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1649187/SRR1649187_2.fastq.gz	PHAM.P9-97124
PRJNA20425	SAMN03073710	SRX758148	SRR1649188	9557	Papio hamadryas	b606cdba4ec837652729d76b91d7afbc;c3d21b26a471823c9bb6343aba87ae8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1649188/SRR1649188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1649188/SRR1649188_2.fastq.gz	PHAM.P9-97124
