study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA433868	SAMN09426454	SRX4218724	SRR7345287	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/007/SRR7345287/SRR7345287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/007/SRR7345287/SRR7345287_2.fastq.gz	13169
PRJNA433868	SAMN09426462	SRX4218722	SRR7345289	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/009/SRR7345289/SRR7345289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/009/SRR7345289/SRR7345289_2.fastq.gz	15149
PRJNA433868	SAMN09426530	SRX4218721	SRR7345290	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/000/SRR7345290/SRR7345290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/000/SRR7345290/SRR7345290_2.fastq.gz	19381
PRJNA433868	SAMN09426627	SRX4218718	SRR7345293	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/003/SRR7345293/SRR7345293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/003/SRR7345293/SRR7345293_2.fastq.gz	31506
PRJNA433868	SAMN09426629	SRX4218716	SRR7345295	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/005/SRR7345295/SRR7345295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/005/SRR7345295/SRR7345295_2.fastq.gz	31542
PRJNA433868	SAMN09426625	SRX4218712	SRR7345299	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/009/SRR7345299/SRR7345299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/009/SRR7345299/SRR7345299_2.fastq.gz	31498
PRJNA433868	SAMN09426506	SRX4218709	SRR7345302	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/002/SRR7345302/SRR7345302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/002/SRR7345302/SRR7345302_2.fastq.gz	18019
PRJNA433868	SAMN09426510	SRX4218705	SRR7345306	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/006/SRR7345306/SRR7345306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/006/SRR7345306/SRR7345306_2.fastq.gz	18344
PRJNA433868	SAMN09426509	SRX4218704	SRR7345307	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/007/SRR7345307/SRR7345307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/007/SRR7345307/SRR7345307_2.fastq.gz	18168
PRJNA433868	SAMN09426507	SRX4218702	SRR7345309	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/009/SRR7345309/SRR7345309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/009/SRR7345309/SRR7345309_2.fastq.gz	18022
PRJNA433868	SAMN09426512	SRX4218701	SRR7345310	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/000/SRR7345310/SRR7345310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/000/SRR7345310/SRR7345310_2.fastq.gz	18528
PRJNA433868	SAMN09426511	SRX4218700	SRR7345311	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/001/SRR7345311/SRR7345311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/001/SRR7345311/SRR7345311_2.fastq.gz	18523
