study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJEB59576	SAMEA14464556	ERX10409915	ERR10972792	9515	Sapajus apella	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10972792/ERR10972792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10972792/ERR10972792_2.fastq.gz	PD_0380
PRJEB59576	SAMEA14464556	ERX10409917	ERR10972794	9515	Sapajus apella	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10972794/ERR10972794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10972794/ERR10972794_2.fastq.gz	PD_0380
PRJEB59576	SAMEA112482855	ERX10381197	ERR10941888	9538	Erythrocebus patas	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/088/ERR10941888/ERR10941888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/088/ERR10941888/ERR10941888_2.fastq.gz	PD_0062
PRJEB59576	SAMEA112482856	ERX10381201	ERR10941892	54137	Trachypithecus vetulus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10941892/ERR10941892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10941892/ERR10941892_2.fastq.gz	PD_0063
PRJEB59576	SAMEA14464556	ERX10409919	ERR10972796	9515	Sapajus apella	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10972796/ERR10972796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10972796/ERR10972796_2.fastq.gz	PD_0380
PRJEB59576	SAMEA112482856	ERX10381203	ERR10941894	54137	Trachypithecus vetulus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10941894/ERR10941894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10941894/ERR10941894_2.fastq.gz	PD_0063
PRJEB59576	SAMEA14464560	ERX10409921	ERR10972798	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10972798/ERR10972798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10972798/ERR10972798_2.fastq.gz	PD_0381
PRJEB59576	SAMEA112482857	ERX10381214	ERR10941905	54181	Trachypithecus obscurus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10941905/ERR10941905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10941905/ERR10941905_2.fastq.gz	PD_0064
PRJEB59576	SAMEA112482858	ERX10381220	ERR10941911	66063	Trachypithecus johnii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10941911/ERR10941911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10941911/ERR10941911_2.fastq.gz	PD_0065
PRJEB59576	SAMEA14464560	ERX10409924	ERR10972801	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10972801/ERR10972801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10972801/ERR10972801_2.fastq.gz	PD_0381
PRJEB59576	SAMEA112482859	ERX10381223	ERR10941914	36223	Cercopithecus ascanius	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10941914/ERR10941914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10941914/ERR10941914_2.fastq.gz	PD_0066
PRJEB59576	SAMEA112482859	ERX10381227	ERR10941918	36223	Cercopithecus ascanius	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/018/ERR10941918/ERR10941918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/018/ERR10941918/ERR10941918_2.fastq.gz	PD_0066
PRJEB59576	SAMEA14464560	ERX10409927	ERR10972804	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10972804/ERR10972804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10972804/ERR10972804_2.fastq.gz	PD_0381
PRJEB59576	SAMEA112482859	ERX10381229	ERR10941920	36223	Cercopithecus ascanius	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/020/ERR10941920/ERR10941920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/020/ERR10941920/ERR10941920_2.fastq.gz	PD_0066
