study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA295782	SAMN04096000	SRX1307876	SRR2565880	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565880/SRR2565880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565880/SRR2565880_2.fastq.gz	AMB_030
PRJNA295782	SAMN04096001	SRX1307877	SRR2565881	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565881/SRR2565881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565881/SRR2565881_2.fastq.gz	AMB_031
PRJNA295782	SAMN04096007	SRX1307883	SRR2565887	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/007/SRR2565887/SRR2565887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/007/SRR2565887/SRR2565887_2.fastq.gz	AMB_037
PRJNA295782	SAMN04096008	SRX1307884	SRR2565888	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565888/SRR2565888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565888/SRR2565888_2.fastq.gz	AMB_038
PRJNA295782	SAMN04096010	SRX1307886	SRR2565890	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565890/SRR2565890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565890/SRR2565890_2.fastq.gz	AMB_040
PRJNA295782	SAMN04096014	SRX1307890	SRR2565894	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565894/SRR2565894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565894/SRR2565894_2.fastq.gz	AMB_044
PRJNA295782	SAMN04096017	SRX1307893	SRR2565897	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/007/SRR2565897/SRR2565897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/007/SRR2565897/SRR2565897_2.fastq.gz	AMB_047
PRJNA295782	SAMN04096019	SRX1307895	SRR2565899	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565899/SRR2565899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565899/SRR2565899_2.fastq.gz	AMB_049
PRJNA295782	SAMN04096022	SRX1307898	SRR2565902	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565902/SRR2565902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565902/SRR2565902_2.fastq.gz	AMB_052
PRJNA295782	SAMN04096026	SRX1307902	SRR2565906	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565906/SRR2565906.fastq.gz	GK_008
PRJNA295782	SAMN04096029	SRX1307905	SRR2565909	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565909/SRR2565909.fastq.gz	GK_011
